size time
36328 1.195
41464 1.443
51800 1.845
41472 1.34
36328 1.229
62296 2.315
36352 1.144
112664 4.812
13536 0.402
46200 1.86
55584 2.367
36584 1.321
41176 1.422
46944 1.689
111152 4.845
36680 1.398
105864 5.189
41184 1.354
36816 1.221
68664 2.851
69760 2.873
36848 1.314
36480 1.26
42712 1.418
66808 2.715
36288 1.194
54488 2.213
129296 6.93
41320 1.263
47040 1.691
65744 2.71
66752 2.586
45640 1.913
36312 1.277
49952 2.14
41336 1.363
50344 2.232
54664 2.986
54664 2.831
62856 3.606
62856 3.493
60800 2.12
56752 2.016
36824 1.29
110360 4.898
75352 3.044
74456 3.217
68936 3.037
71552 2.948
42048 1.552
36328 1.181
100688 5.109
70304 2.752
37064 1.293
41120 1.564
61168 2.372
66296 2.53
50824 1.865
36040 1.18
55200 2.247
41416 1.409
36344 1.134
36528 1.266
41448 1.315
47144 1.571
36328 1.173
46080 1.683
36904 1.252
112672 4.767
47264 1.648
55816 2.225
36432 1.124
36336 1.126
56064 2.289
50384 1.872
41152 1.413
64640 2.592
86416 3.586
84024 3.616
79680 3.456
85376 3.718
46240 1.692
42944 1.542
48448 1.916
151312 7.019
171880 9.574
63304 2.483
89912 3.843
80288 3.224
135232 6.745
155280 7.314
50768 1.864
39192 1.385
141328 6.916
40632 1.434
41120 1.528
43296 1.563
157432 8.803
125264 8.799
37400 1.389
51208 1.994
44152 1.646
59424 2.483
169232 8.413
43336 1.732
54792 2.295
38496 1.356
49160 1.881
60760 2.369
46176 1.675
38976 1.44
77168 3.166
38704 1.398
155280 7.324
22648 0.441
55312 2.469
77432 3.443
43712 1.634
48464 1.846
56680 2.236
148096 7.072
42624 1.594
158504 8.807
43832 1.666
41992 1.543
92008 4.188
95216 4.342
43184 1.588
41544 1.589
49656 1.841
86280 3.77
39064 1.47
74000 3.283
187768 10.869
44200 1.644
56920 2.224
79272 3.248
85040 3.671
64936 3.063
43888 1.616
71432 3.268
46224 1.729
59192 2.884
67688 3.777
67688 3.965
80168 4.91
80168 5.046
74064 3.052
70856 2.915
41368 1.546
150272 7.567
85160 3.781
109504 5.123
90592 4.109
93544 4.262
50736 2.003
38464 1.442
153664 8.655
92968 4.111
42304 1.566
52176 2.09
66208 2.697
85256 3.608
64368 2.427
37400 1.344
64288 2.627
46144 1.761
38592 1.433
41072 1.47
44128 1.617
53936 2.102
38752 1.43
55416 2.209
41488 1.541
155280 7.241
55992 2.052
75096 3.497
38968 1.454
38760 1.41
48976 1.811
45080 1.539
37552 1.216
63248 2.519
69568 2.723
70256 2.858
66600 2.717
73704 2.916
42632 1.432
40336 1.331
45488 1.501
131584 5.96
126688 6.508
55416 2.037
75704 3.038
70784 2.759
115704 5.411
128192 5.892
47216 1.66
36632 1.276
123856 5.81
37944 1.352
37424 1.321
40840 1.408
116224 5.836
111240 5.035
35416 1.154
46368 1.677
40776 1.358
58320 2.507
139664 6.389
40520 1.309
49296 1.802
35912 1.232
42672 1.476
55200 2.014
41208 1.39
36256 1.295
66464 2.474
36080 1.194
128192 5.748
21776 0.435
49712 2.058
64080 2.607
40048 1.298
42776 1.494
50384 1.841
122376 5.421
40232 1.32
117584 5.958
40672 1.436
40360 1.357
80184 3.432
81488 3.455
40328 1.391
37880 1.271
46144 1.599
78448 3.098
36312 1.177
64016 2.747
147096 7.993
40592 1.327
50400 1.834
73312 2.938
71224 2.772
55304 2.371
39856 1.343
59568 2.559
42072 1.494
52184 2.379
58424 3.057
58424 3.098
64344 3.835
64344 3.77
64192 2.449
60208 2.203
38264 1.321
121816 5.712
80960 3.489
87816 4.021
80648 3.677
81016 3.479
46032 1.627
35872 1.247
112392 5.788
75784 3.091
40576 1.379
44480 1.584
64792 2.545
73648 2.747
54480 2.01
35416 1.138
62824 2.53
41680 1.403
35904 1.17
38016 1.247
40864 1.439
50560 1.768
36136 1.266
49544 1.906
38240 1.331
128192 5.822
50664 1.782
64536 2.686
36320 1.276
36040 1.191
49176 1.858
45704 1.677
38248 1.412
63824 2.605
70928 2.969
74272 3.202
69552 3.004
76664 3.277
45240 1.635
40592 1.387
45760 1.692
132568 6.299
132664 7.251
57232 2.17
75920 3.282
74392 3.016
115680 5.842
133792 6.529
49096 1.734
37328 1.395
131024 6.677
39888 1.4
38128 1.404
41096 1.515
120272 6.54
111880 5.045
35672 1.249
48312 1.869
42072 1.526
58960 2.628
136112 6.767
40768 1.462
49504 1.884
36616 1.366
43368 1.577
56160 2.103
41952 1.463
36896 1.362
70280 2.763
36784 1.293
133784 6.469
21896 0.452
49976 2.136
63336 2.685
40304 1.504
44744 1.643
50688 1.865
123456 5.829
41336 1.57
125712 6.731
41272 1.432
40576 1.511
80408 3.51
81656 3.418
