size time
39216 1.532
32864 1.136
51064 2.018
38728 1.212
37944 1.528
42040 1.61
33984 1.225
32208 1.321
23544 0.934
27704 1.02
31672 1.45
23656 0.863
29688 1.3
22648 0.865
24216 1.043
28376 1.364
21256 0.793
36136 1.569
27944 0.987
27600 1.294
31696 1.358
23544 0.868
36088 1.449
27328 1.141
27288 1.056
35336 1.597
27328 1.066
32576 1.479
24952 1.029
26000 1.055
29512 1.389
23400 0.991
40056 1.777
27768 1.142
31376 1.417
31376 1.403
27352 1.067
45400 1.947
32120 1.391
32088 1.421
44288 2.219
28056 1.217
42144 2.038
30512 1.356
32160 1.335
37560 1.902
28224 1.199
49360 2.276
32976 1.377
35976 1.699
35928 1.888
31952 1.349
42040 1.628
33200 1.231
33160 1.259
45368 2.118
29104 1.128
38976 1.598
30696 1.136
33280 1.268
41424 1.942
29272 1.103
45936 1.967
33464 1.159
37168 1.551
37168 1.627
33112 1.17
36584 1.464
27808 1.072
27720 1.175
35800 1.849
27808 0.892
33264 1.566
25272 1.009
27800 1.088
30776 1.587
23880 0.874
40544 1.737
28256 1.115
31856 1.393
31856 1.399
27840 0.965
31688 1.364
27144 1.023
27104 1
31120 1.445
23048 0.832
29648 1.397
23200 0.992
24112 1.065
27176 1.301
20880 0.882
35664 1.512
27472 1.021
27104 1.254
31200 1.318
23048 0.958
89744 4.165
76144 4.054
80208 4.282
88208 5.307
59944 2.27
86552 4.213
74152 4.751
76192 4.761
92464 6.277
56432 2.365
89704 4.345
65104 2.574
84576 4.971
84360 5.175
72432 3.872
36512 1.665
27632 1.196
31688 1.177
47912 2.675
27640 0.978
36712 1.612
26568 1.219
28024 1.25
45152 2.513
24416 0.975
40392 1.958
32200 1.219
31608 1.564
31608 1.623
27584 1.162
32056 1.329
27488 1.03
27544 0.967
31560 1.457
23488 0.833
30720 1.324
23800 0.92
25152 1.075
27904 1.325
22248 0.885
35984 1.588
27792 1.033
27448 1.227
31544 1.363
23392 0.907
36448 1.49
27344 1.116
27304 1.092
31320 1.578
27344 0.994
33896 1.493
25416 1.107
27376 1.147
29584 1.361
23416 0.916
40336 1.726
28048 1.165
31408 1.335
31408 1.438
27352 1.018
42328 1.741
33160 1.209
37184 1.321
41200 1.7
33160 1.165
42528 1.741
32000 1.301
33288 1.366
37512 1.79
29520 1.139
46168 1.978
37928 1.326
37200 1.566
37200 1.566
33144 1.178
32112 1.201
23448 0.873
27504 0.977
31520 1.322
23448 0.78
28888 1.176
23600 0.889
23480 0.942
26168 1.205
20800 0.764
36056 1.461
23768 0.892
27520 1.199
27520 1.272
23464 0.916
36576 1.543
27864 1.068
31952 1.143
35968 1.679
27904 1.045
34856 1.584
26744 1.111
28704 1.222
32032 1.507
24928 0.978
40480 1.781
32288 1.136
31912 1.521
31912 1.528
27856 1.174
62312 3.27
41048 2.026
41080 2.011
53248 2.883
36984 1.761
70848 3.228
46880 1.912
49496 1.896
61744 3.177
42104 1.732
74392 3.731
41624 1.892
45064 2.396
49160 2.367
41040 2.156
218136 21.188
246216 20.902
237984 20.844
246096 21.543
229832 19.782
215584 21.153
243592 21.269
238288 20.39
242200 21.219
230096 19.933
377648 33.367
226096 20.313
229816 21.646
229816 22.426
217568 20.497
73712 2.371
53616 1.653
53576 1.698
61632 2.269
49656 1.492
69960 2.421
50936 1.658
54488 1.728
58480 2.023
47784 1.415
82416 3.12
61688 1.828
62904 2.21
62840 2.244
55232 1.673
59864 2.198
45136 1.455
49176 1.561
52872 2.064
41080 1.306
57488 2.259
41992 1.503
45472 1.639
49352 1.929
39392 1.312
68128 2.79
51744 1.661
49832 1.957
53824 2.22
46472 1.582
63672 2.286
48296 1.558
52312 1.63
60328 2.487
44200 1.37
64016 2.273
47184 1.493
51008 1.629
54232 1.924
44512 1.361
75808 2.759
53816 1.529
51568 1.907
55664 1.953
47720 1.474
25192 1.028
21064 0.766
21064 0.822
33312 1.842
21064 0.729
22832 1.054
19712 0.795
20408 0.894
29368 1.626
18448 0.703
29320 1.153
21128 0.78
25064 1.003
29160 1.441
21008 0.84
409800 28.253
266408 20.615
266408 19.859
266328 19.999
258216 19.935
407408 27.511
330208 23.362
259184 20.257
259504 20.437
257168 19.96
520472 32.504
295144 20.246
294984 20.397
294984 20.115
290928 20.201
21904 1.002
21872 0.746
21872 0.868
25920 1.428
17776 0.687
22104 0.987
17928 0.765
21944 0.793
21976 1.164
17936 0.691
26024 1.136
17832 0.841
21768 1.037
21768 1.041
17712 0.831
689312 12.801
685208 12.672
685168 12.585
689184 13.117
685208 12.624
685448 12.667
683184 12.686
683128 12.694
685240 12.661
681824 12.517
689344 12.918
685248 13.012
685048 12.88
685048 12.838
685088 12.576
81824 1.965
77696 1.906
77696 1.848
81712 2.164
77696 1.839
77920 1.964
76112 1.856
76576 1.872
77760 1.937
75456 1.815
81848 1.991
77752 1.965
81688 2.121
81688 2.132
77632 1.84
16416 0.795
16392 0.617
16392 0.576
16312 0.876
12296 0.542
14208 0.713
11944 0.619
12376 0.611
14176 0.82
11144 0.534
16464 0.865
16464 0.63
16304 0.661
16304 0.694
12248 0.573
29504 1.046
23480 0.802
23392 0.82
43600 2.123
19384 0.789
27424 1.06
20504 0.784
20568 0.877
79648 4.89
18576 0.694
33624 1.299
25432 0.906
23056 1.053
27112 1.093
19248 0.774
12232 0.668
12208 0.545
12240 0.503
16256 0.61
12240 0.5
12008 0.605
10640 0.493
10960 0.546
12320 0.617
9912 0.467
16368 0.732
12272 0.47
12112 0.626
12112 0.614
12152 0.503
16432 0.762
16408 0.602
16408 0.603
20432 1.026
12312 0.539
13840 0.675
11872 0.545
12400 0.589
15872 0.908
10992 0.492
16472 0.84
12376 0.535
16320 0.833
16320 0.816
12264 0.551
17256 0.742
17232 0.71
17232 0.74
21256 1.102
17232 0.602
16256 0.756
14336 0.618
15040 0.745
17320 0.882
13312 0.598
21408 0.953
17312 0.615
17152 0.83
17152 0.908
17192 0.609
21136 0.92
16728 0.669
16696 0.743
20640 0.989
16744 0.623
18968 0.915
14296 0.788
14744 0.74
16960 0.962
12952 0.67
25280 1.09
17088 0.792
16536 0.801
16536 0.814
16648 0.688
21368 0.866
17152 0.738
17152 0.752
21168 1.043
17152 0.599
17688 0.897
14600 0.731
14920 0.738
17240 0.888
13264 0.616
21408 0.951
17312 0.639
17056 0.818
17056 0.755
17096 0.649
26320 1.054
21224 9.308
17024 10.958
20936 21.506
17280 17.045
22424 19.745
17288 13.875
16440 18.057
18408 17.696
15008 15.368
26352 13.493
22048 16.756
16840 8.644
16840 18.372
16920 17.79
33392 10.899
27896 1.084
27792 1.076
31808 1.381
23888 0.94
33592 1.507
28056 1.025
27872 1.021
27872 1.238
24056 1.013
41672 1.685
29176 1.059
27760 1.185
27760 1.244
23704 1.003
26592 1.168
21424 14.697
21320 14.597
25232 20.166
21568 1.749
25168 18.348
19400 0.897
19248 16.35
21496 1.17
17648 14.492
30728 23.689
22328 4.473
21128 16.553
21128 16.553
21208 0.836
27088 22.763
22320 14.661
22216 14.468
22136 1.026
18312 0.688
27288 1.129
18664 0.787
22288 0.812
22288 0.903
18472 0.645
31272 1.313
22976 0.744
22176 0.867
22176 0.85
18120 0.722
11680 0.583
11656 0.484
11656 0.478
11576 0.53
11656 0.516
10480 0.66
9072 0.468
9120 0.506
9608 0.501
8408 0.455
15864 0.67
11720 0.465
11560 0.493
11560 0.488
11600 0.521
21400 0.919
17184 0.739
17184 0.74
21200 1.036
17184 0.604
18024 0.851
15032 0.643
15520 0.723
22680 1.225
13744 0.598
21440 1.03
17344 0.642
21184 0.811
21184 0.812
17128 0.719
16400 0.783
16376 0.592
16376 0.689
16304 0.758
12280 0.535
16624 0.776
12448 0.592
12768 0.608
16464 0.721
12456 0.548
20536 0.843
16440 0.622
16288 0.719
16288 0.748
12232 0.664
30952 1.389
22088 1.053
22024 1.07
26040 1.169
22208 0.874
27056 1.38
22240 1.079
22144 1.106
22832 1.204
18856 0.938
35112 1.637
22720 1.065
21928 1.163
21928 1.155
21968 0.995
26816 1.077
22400 0.94
22400 0.972
26352 1.318
18304 0.762
23504 1.101
19776 0.877
20272 0.87
24368 1.155
18448 0.769
26840 1.298
22696 0.803
22264 1.126
26360 1.11
22424 0.86
17640 0.869
17312 0.595
17440 0.684
21376 0.96
17352 0.542
17840 0.873
17464 0.609
17560 0.677
21528 1.067
13424 0.569
21552 0.958
17416 0.577
17216 0.736
17216 0.842
17256 0.609
12328 0.508
12296 0.449
12344 0.462
12224 0.615
12296 0.434
10136 0.569
9064 0.431
9344 0.482
10616 0.586
8592 0.416
12392 0.6
12352 0.433
12192 0.688
12192 0.71
12232 0.462
16888 0.656
16880 0.581
16952 0.613
16888 0.676
12784 0.511
14400 0.642
12936 0.546
13512 0.591
14576 0.717
11896 0.501
16912 0.793
16912 0.597
16752 0.753
16752 0.852
12696 0.546
13600 0.574
13568 0.484
13568 0.521
13488 0.525
13568 0.476
13800 0.574
10616 0.483
10376 0.541
10376 0.485
9896 0.449
13672 0.631
13624 0.516
13472 0.544
13472 0.562
13512 0.477
11600 0.498
11576 0.444
11576 0.501
11496 0.467
11576 0.43
9000 0.464
8272 0.415
8312 0.446
8304 0.432
7752 0.417
11688 0.499
11640 0.458
11480 0.449
11480 0.444
11520 0.432
20880 1.073
16760 0.734
20856 0.858
24872 1.531
16760 0.706
19032 0.937
15744 0.713
16840 0.808
23008 1.378
14232 0.67
25016 1.032
16824 0.779
20760 0.929
20760 1.087
16704 0.863
48512 2.239
40296 1.736
44448 1.742
73488 3.763
40296 1.644
48728 2.205
40456 1.742
40472 1.78
77984 4.254
36416 1.527
56776 2.648
40392 1.775
56616 2.719
56616 2.682
40272 1.601
35152 1.555
26936 1.163
31080 1.185
51752 2.528
26936 1.062
31432 1.43
27096 1.083
27200 1.152
51848 2.827
23160 1.033
39320 1.739
27032 1.104
30968 1.453
30968 1.502
26912 1.045
44096 1.958
35880 1.424
35928 1.575
60928 2.978
31784 1.311
40216 1.945
32776 1.384
36192 1.547
65176 3.513
28832 1.199
48264 2.315
31880 1.385
39920 2.09
44016 2.11
31768 1.341
31160 1.278
22272 0.962
26344 1.038
30176 1.467
22304 0.806
27288 1.189
20944 0.963
21712 0.984
29208 1.541
18680 0.885
35248 1.451
22960 0.982
22104 1.072
22072 1.016
22208 0.891
44552 1.922
39568 1.46
39624 1.482
47472 2.452
35616 1.197
44760 1.904
36040 1.391
37392 1.461
40424 1.841
32744 1.182
52896 2.165
36160 1.402
39336 1.709
39336 1.732
35504 1.355
45928 1.933
36952 1.347
41056 1.416
61240 3.286
37056 1.142
44960 2.015
37184 1.418
39256 1.452
46680 2.16
33976 1.17
33976 1.197
33976 1.184
33976 1.19
33976 1.185
33976 1.168
1569664 30.549
1569568 30.245
1569568 30.241
1573496 30.702
1565472 29.941
1569160 30.518
1565632 30.111
1566424 30.296
1569608 30.615
1562680 30.266
1577912 30.767
1565624 30.303
1569440 30.372
1581680 31.061
1565432 30.299
16992 0.775
16968 0.599
16968 0.612
20984 0.923
16968 0.561
17208 0.827
14216 0.619
14536 0.628
17048 0.863
13120 0.541
21128 0.972
17032 0.596
16872 0.714
16872 0.711
16912 0.575
21808 0.906
21784 0.752
21784 0.772
21704 0.821
17688 0.773
19912 0.902
17848 0.702
17776 0.909
18904 0.874
16280 0.756
25952 1.135
17760 0.708
21696 0.776
21696 0.899
17640 0.714
280000 6.355
279920 6.46
275904 6.196
276720 6.27
277720 6.326
275272 6.111
718416 71.853
476752 29.819
476520 29.623
476520 29.658
472464 29.679
41968 1.836
32920 1.282
37336 1.346
41104 1.734
33008 1.15
42184 1.808
33088 1.329
34328 1.369
37208 1.537
29560 1.208
50256 2.147
33872 1.338
36712 1.473
36712 1.547
32736 1.272
24536 0.939
19624 0.736
23656 0.842
23480 1.13
19648 0.756
24752 1.016
19784 0.766
20464 0.768
21816 0.932
17712 0.735
28712 1.204
24440 0.768
23504 0.962
23504 0.989
19568 0.817
61960 2.621
56816 2.095
60792 2.27
72984 3.805
48752 1.748
62160 2.603
52008 2.049
58576 2.336
70840 3.586
46320 1.624
70200 2.991
53456 1.972
60656 2.739
60656 2.733
52464 1.992
