Total Decode Datalog Size
1.123 0.285 0.343 39624
1.045 0.266 0.308 35528
0.734 0.185 0.230 27304
1.735 0.444 0.564 52072
1.793 0.478 0.598 56104
1.927 0.504 0.652 60264
1.831 0.490 0.618 56104
2.086 0.541 0.700 64360
0.892 0.232 0.279 35592
0.832 0.200 0.232 31400
0.939 0.243 0.296 35496
4.439 1.096 1.728 109736
5.221 1.257 1.994 117704
1.303 0.355 0.419 43752
2.111 0.515 0.730 64328
1.887 0.498 0.639 60336
4.058 0.960 1.605 97808
4.091 1.026 1.397 114216
0.972 0.242 0.288 39624
0.758 0.187 0.233 27304
4.422 1.083 1.576 113736
0.766 0.199 0.236 31368
0.814 0.190 0.241 27304
0.842 0.219 0.253 31464
4.723 1.150 1.834 105320
13.100 0.857 8.772 93192
0.830 1.187 0.339 27272
1.149 0.291 0.337 39624
0.849 0.229 0.262 31432
1.657 0.454 0.544 47880
5.087 9.752 2.361 113936
0.825 0.223 0.262 31432
1.141 0.560 2.394 39656
0.719 0.199 0.222 27272
0.968 0.317 0.289 35592
1.350 0.351 0.429 43784
0.959 0.229 0.266 31896
0.775 0.196 0.231 27272
1.853 0.694 0.606 56176
0.767 0.193 0.221 27304
4.402 1.183 1.537 114216
0.217 0.040 0.045 10512
1.347 0.432 0.416 39688
2.033 0.472 0.790 52008
0.850 0.220 0.259 31400
1.001 0.249 0.301 35528
1.180 0.305 0.403 39720
4.319 1.042 1.668 101520
0.937 0.237 0.270 31432
5.064 1.409 1.989 109480
0.904 0.232 0.255 31432
0.920 0.334 0.256 31432
2.683 0.628 1.035 68424
2.649 0.721 1.252 68424
0.929 0.229 0.274 31400
0.815 0.208 0.256 31400
1.100 0.270 0.315 35688
2.373 0.598 0.739 68488
0.771 0.187 0.224 27272
2.137 0.467 0.818 51944
6.590 1.625 2.701 134120
0.857 0.214 0.247 31464
1.246 0.323 0.392 39624
2.242 0.576 0.726 60232
2.081 0.549 0.652 60264
1.734 0.392 0.716 43720
0.854 0.308 0.237 31400
1.937 0.433 0.772 47848
0.930 0.244 0.280 35560
1.392 0.369 0.464 43784
1.925 0.471 0.711 47880
1.989 0.466 0.719 47880
2.331 0.661 0.863 56072
2.344 0.566 0.904 56072
1.735 0.455 0.561 52112
1.668 0.411 0.605 47944
0.788 0.210 0.240 31400
4.226 1.059 1.625 105960
2.351 0.632 0.799 69016
2.959 0.678 1.104 72648
2.618 0.629 1.044 64328
2.325 0.547 0.908 68360
1.118 0.292 0.365 39664
0.707 0.178 0.211 27272
4.618 1.136 1.810 101160
2.157 0.556 0.723 64392
0.784 0.199 0.243 31432
0.994 0.256 0.322 35528
1.727 0.466 0.561 52600
2.020 0.484 0.638 60328
1.461 0.369 0.523 43752
0.710 0.179 0.208 27272
1.826 0.479 0.664 52008
0.961 0.245 0.312 31400
0.782 0.197 0.229 27304
0.787 0.197 0.236 31432
0.894 0.232 0.276 31464
1.226 0.299 0.432 39688
0.716 0.193 0.230 27272
1.320 0.330 0.452 39720
0.786 0.204 0.244 31432
4.258 1.055 1.413 114216
1.190 0.323 0.374 39720
1.985 0.462 0.798 52040
0.725 0.194 0.225 27304
0.758 0.199 0.248 27272
1.883 0.652 0.712 51912
1.697 0.429 0.533 47816
1.297 0.359 0.420 43688
2.375 0.629 0.804 64360
2.641 0.704 0.903 72488
2.921 0.769 1.026 76648
2.673 0.712 0.955 72488
3.001 0.778 1.088 80744
1.542 0.406 0.496 47880
1.474 0.366 0.428 43688
1.703 0.461 0.542 47784
5.347 1.327 2.122 130216
7.602 1.749 3.292 146376
2.032 0.543 0.699 60136
2.906 0.698 1.068 76648
2.701 0.718 0.894 76720
5.201 1.250 2.031 114192
5.806 1.374 2.103 138792
1.531 0.409 0.482 51912
1.278 0.354 0.405 39592
5.436 1.364 2.005 134216
1.337 0.373 0.438 43656
1.319 0.355 0.410 43688
1.383 0.381 0.443 43752
7.304 1.617 3.185 138088
13.550 1.116 9.666 113672
1.230 0.342 0.393 39560
1.684 0.467 0.547 51912
1.453 0.391 0.472 47816
2.235 0.612 0.767 60168
5.971 1.386 2.456 134416
1.401 0.382 0.456 43720
1.702 0.466 0.539 51944
1.277 0.355 0.402 39560
1.516 0.407 0.493 47880
2.126 0.564 0.696 64264
1.434 0.384 0.453 44184
1.287 0.353 0.408 39560
2.426 0.629 0.825 68464
1.258 0.339 0.407 39592
5.740 1.369 2.111 138792
0.249 0.063 0.065 10512
1.832 0.488 0.601 51976
2.484 0.624 0.950 64296
1.399 0.368 0.466 43688
1.553 0.413 0.509 47816
1.699 0.461 0.566 52008
5.463 1.274 2.207 122000
1.434 0.390 0.456 43720
7.273 1.606 3.047 138152
1.396 0.377 0.454 43720
1.433 0.381 0.452 43720
3.218 0.794 1.228 84808
3.068 0.756 1.168 80712
1.434 0.389 0.464 43688
1.351 0.367 0.439 43688
1.564 0.410 0.508 47976
3.144 0.799 1.053 84872
1.266 0.351 0.414 39560
2.617 0.657 0.990 64232
8.965 1.985 3.916 166888
1.375 0.386 0.448 43752
1.786 0.490 0.604 56008
2.770 0.733 1.007 72552
2.890 0.750 1.009 76648
2.154 0.517 0.837 56008
1.344 0.376 0.432 43688
2.344 0.585 0.907 60136
1.488 0.390 0.470 47848
1.934 0.535 0.640 56072
2.307 0.630 0.767 64264
2.305 0.630 0.764 64264
2.589 0.718 0.874 68360
2.600 0.721 0.871 68360
2.397 0.629 0.778 68496
2.236 0.597 0.763 64328
1.363 0.358 0.467 43688
7.628 1.763 3.126 155112
3.150 0.837 1.063 85400
3.632 0.884 1.370 89032
3.251 0.801 1.245 80712
2.953 0.731 1.102 84744
1.845 0.491 0.625 51952
1.286 0.352 0.398 39560
6.780 1.541 2.973 129832
2.985 0.797 1.023 80776
1.338 0.372 0.441 43720
1.501 0.406 0.497 47816
2.377 0.628 0.813 64888
2.801 0.695 1.007 76712
2.004 0.511 0.673 60136
1.256 0.343 0.409 39560
2.303 0.643 0.801 64296
2.034 0.564 0.668 55976
1.282 0.339 0.398 39592
1.315 0.360 0.423 43720
1.423 0.376 0.450 43752
1.761 0.471 0.569 56072
1.299 0.352 0.404 39560
1.896 0.499 0.639 56104
1.351 0.361 0.435 43720
5.740 1.402 2.113 138792
1.634 0.456 0.523 52008
2.484 0.622 0.947 64328
1.271 0.350 0.403 39592
1.278 0.353 0.412 39560
1.038 0.249 0.363 35528
0.945 0.224 0.337 31432
0.729 0.173 0.276 27272
1.578 0.400 0.571 43880
1.643 0.411 0.612 52008
1.720 0.429 0.644 52040
1.646 0.409 0.620 47912
1.827 0.445 0.678 52072
0.868 0.208 0.306 31496
0.826 0.182 0.269 31400
0.924 0.214 0.324 31400
4.139 0.881 1.854 93352
4.239 1.013 1.726 93096
1.207 0.300 0.438 39656
1.771 0.420 0.658 56168
1.683 0.414 0.616 52112
3.540 0.787 1.522 81424
3.266 0.789 1.192 89640
0.911 0.216 0.313 35528
0.736 0.169 0.258 27272
3.504 0.868 1.297 89160
0.727 0.177 0.274 27272
0.756 0.170 0.273 27304
0.819 0.193 0.287 27336
3.843 0.898 1.603 88936
7.445 0.701 4.724 80904
0.701 0.159 0.255 27272
0.965 0.235 0.353 31432
0.805 0.196 0.295 27336
1.538 0.390 0.559 43752
4.470 0.920 2.142 97552
0.783 0.182 0.276 27336
1.057 0.260 0.378 35560
0.683 0.168 0.258 27272
0.836 0.205 0.309 31464
1.173 0.293 0.425 39688
0.838 0.202 0.293 31864
0.718 0.168 0.260 27272
1.479 0.388 0.533 47952
0.731 0.168 0.257 27272
3.238 0.782 1.185 89640
0.158 0.033 0.037 10504
